date,home_team,away_team,tournament,neutral,home_score,away_score,outcome,home_win,h_win_rate,h_draw_rate,h_goals_scored_avg,h_goals_conceded_avg,h_clean_sheets_rate,h_goal_diff_avg,h_games_played,h_fifa_rank,h_elo,a_win_rate,a_draw_rate,a_goals_scored_avg,a_goals_conceded_avg,a_clean_sheets_rate,a_goal_diff_avg,a_games_played,a_fifa_rank,a_elo,rank_diff,elo_diff,h2h_win_rate,h2h_games
2018-07-11,Croácia,Inglaterra,FIFA World Cup,1,2.0,1.0,home_win,1,0.5,0.3,1.3,0.9,0.4,0.4,10,10,1820,0.6,0.3,1.7,0.6,0.4,1.1,10,4,1920,6,-100,0.5,0
2018-07-14,Bélgica,Inglaterra,FIFA World Cup,1,2.0,0.0,home_win,1,0.8,0.1,2.5,0.7,0.5,1.8,10,3,1930,0.6,0.2,1.8,0.8,0.3,1.0,10,4,1920,-1,10,1.0,1
2018-07-15,França,Croácia,FIFA World Cup,1,4.0,2.0,home_win,1,0.8,0.2,1.9,0.7,0.5,1.2,10,1,1960,0.6,0.2,1.5,1.0,0.3,0.5,10,10,1820,-9,140,0.5,0
2018-09-06,Portugal,Croácia,Friendly,0,1.0,1.0,draw,0,0.3,0.5,1.4,1.3,0.3,0.1,10,5,1900,0.6,0.2,1.7,1.2,0.3,0.5,10,10,1820,-5,80,1.0,1
2018-09-06,Alemanha,França,UEFA Nations League,0,0.0,0.0,draw,0,0.3,0.3,1.3,1.2,0.1,0.1,10,12,1810,0.8,0.2,2.0,0.8,0.5,1.2,10,1,1960,11,-150,0.0,2
2018-09-06,República Tcheca,Ucrânia,UEFA Nations League,0,1.0,2.0,away_win,0,0.6,0.0,1.6,1.3,0.3,0.3,10,40,1620,0.6,0.2,1.5,0.9,0.3,0.6,10,24,1710,16,-90,0.5,0
2018-09-07,Estados Unidos,Brasil,Friendly,0,0.0,2.0,away_win,0,0.3,0.4,1.3,0.9,0.4,0.4,10,13,1805,0.7,0.2,1.7,0.3,0.8,1.4,10,6,1980,7,-175,0.5,0
2018-09-07,Escócia,Bélgica,Friendly,0,0.0,4.0,away_win,0,0.4,0.2,1.1,0.9,0.4,0.2,10,30,1670,0.8,0.1,2.3,0.7,0.5,1.6,10,3,1930,27,-260,0.5,0
2018-09-07,México,Uruguai,Friendly,1,1.0,4.0,away_win,0,0.5,0.1,0.8,0.9,0.5,-0.1,10,16,1785,0.7,0.1,1.4,0.5,0.7,0.9,10,20,1740,-4,45,1.0,1
2018-09-08,Inglaterra,Espanha,UEFA Nations League,0,1.0,2.0,away_win,0,0.5,0.2,1.7,1.0,0.2,0.7,10,4,1920,0.4,0.6,2.4,1.2,0.3,1.2,10,2,1940,2,-20,0.0,1
2018-09-09,França,Holanda,UEFA Nations League,0,2.0,1.0,home_win,1,0.7,0.3,1.8,0.8,0.5,1.0,10,1,1960,0.7,0.2,1.9,0.6,0.4,1.3,10,7,1870,-6,90,1.0,3
2018-09-10,Portugal,Itália,UEFA Nations League,0,1.0,0.0,home_win,1,0.3,0.5,1.4,1.3,0.3,0.1,10,5,1900,0.2,0.5,0.8,1.1,0.2,-0.3,10,9,1820,-4,80,0.5,0
2018-09-11,Estados Unidos,México,Friendly,0,1.0,0.0,home_win,1,0.3,0.4,1.3,0.9,0.4,0.4,10,13,1805,0.4,0.1,0.8,1.3,0.4,-0.5,10,16,1785,-3,20,0.0,2
2018-09-11,Uzbequistão,Irã,Friendly,0,0.0,1.0,away_win,0,0.1,0.3,0.4,1.2,0.2,-0.8,10,68,1495,0.6,0.1,1.2,0.6,0.5,0.6,10,21,1725,47,-230,0.0,3
2018-09-11,Inglaterra,Suíça,Friendly,0,1.0,0.0,home_win,1,0.5,0.1,1.7,1.1,0.2,0.6,10,4,1920,0.5,0.4,2.1,0.6,0.5,1.5,10,18,1770,-14,150,0.5,0
2018-09-11,Colômbia,Argentina,Friendly,1,0.0,0.0,draw,0,0.5,0.3,1.6,0.8,0.5,0.8,10,15,1790,0.5,0.1,1.9,1.9,0.4,0.0,10,3,1955,12,-165,0.0,1
2018-09-11,Espanha,Croácia,UEFA Nations League,0,6.0,0.0,home_win,1,0.4,0.6,2.1,1.3,0.2,0.8,10,2,1940,0.5,0.3,1.7,1.3,0.2,0.4,10,10,1820,-8,120,0.0,1
2018-10-10,Itália,Ucrânia,Friendly,0,1.0,1.0,draw,0,0.2,0.4,0.7,1.1,0.2,-0.4,10,9,1820,0.6,0.2,1.4,0.9,0.3,0.5,10,24,1710,-15,110,0.5,0
2018-10-11,Estados Unidos,Colômbia,Friendly,0,2.0,4.0,away_win,0,0.4,0.3,1.3,0.8,0.5,0.5,10,13,1805,0.5,0.4,1.5,0.6,0.6,0.9,10,15,1790,-2,15,0.0,2
2018-10-11,Argentina,Iraque,Friendly,1,4.0,0.0,home_win,1,0.4,0.2,1.8,1.9,0.4,-0.1,10,3,1955,0.4,0.5,1.8,0.9,0.4,0.9,10,62,1518,-59,437,0.5,0
2018-10-12,Bélgica,Suíça,UEFA Nations League,0,2.0,1.0,home_win,1,0.9,0.0,2.7,0.7,0.5,2.0,10,3,1930,0.5,0.3,2.1,0.7,0.4,1.4,10,18,1770,-15,160,1.0,1
2018-10-12,Croácia,Inglaterra,UEFA Nations League,0,0.0,0.0,draw,0,0.5,0.3,1.7,1.7,0.2,0.0,10,10,1820,0.5,0.1,1.6,1.0,0.3,0.6,10,4,1920,6,-100,1.0,1
2018-10-12,Japão,Panamá,Kirin Challenge Cup,0,3.0,0.0,home_win,1,0.3,0.2,1.5,1.6,0.1,-0.1,10,17,1775,0.1,0.2,0.4,2.2,0.2,-1.8,10,77,1455,-60,320,0.5,0
2018-10-12,Coreia do Sul,Uruguai,Friendly,0,2.0,1.0,home_win,1,0.3,0.2,1.0,1.1,0.5,-0.1,10,22,1720,0.8,0.0,1.8,0.6,0.6,1.2,10,20,1740,2,-20,0.5,0
2018-10-12,Catar,Equador,Friendly,0,4.0,3.0,home_win,1,0.4,0.3,1.7,1.1,0.3,0.6,10,58,1520,0.4,0.1,1.4,1.3,0.3,0.1,10,34,1645,24,-125,0.5,0
